rating,category,text,review_id,date
1,delivery,Just ordered the Fiesta Chicken Bowl and it arrived 2 hours late. Unacceptable.,,
1,delivery,Just ordered the Fiesta Chicken Bowl and it arrived 2 hours late. Unacceptable.,,
1,wrong_item,multiple payment issues which they dont fix and instead give weird suggestions like turn off wifi and pay using mobile data. horrible app though food is good,846313d0-de9f-4e73-9abe-99d0a482656b,2026-07-11 13:10:08
5,other,Food taste is very good,33bd2126-e4c0-4b5b-b078-c244eb85c6f7,2026-07-11 10:44:02
1,food_safety,please fix the meal picker (swap meal) view....its really buggy and freezes. There's no reason for it to be that heavy...given the content on the screen/tabs. The app makes the phone unresponsive on this view...is this vibe coded? 👀,c75bf4b6-a1ae-4641-8f57-7bc6be589b0d,2026-07-07 13:13:02
2,other,really high price,ee957f99-0330-42c3-b1a7-a9d9e82bc44f,2026-07-07 04:58:46
5,other,Food is so much better now! And their app is easy to use,1141ef1f-1faa-45cf-bc10-cb981c9f434d,2026-07-01 00:55:23
1,other,Big Ethics issue with Calo. Unfortunately no customer services.,95572fb5-02ee-4934-8642-050babd3466a,2026-06-21 23:14:07
1,other,خدمه سيئه جدا مفيش رد بالساعات..+ عدم وضوح بالسعرات الحراريه بالوجبات و ارقام خطأ,610b6256-a05b-4a6d-b390-0f70fec4b256,2026-06-21 21:02:56
1,wrong_item,"I don't usually rate apps, but this one is a disaster, I ordered and the delivery should be the next day, it took two days, the delivery guy came and wanted me to meet him outside the building, didn't even want to come to the apartment. while I wasn't available. and he left with my order instead of keeping outside my door. what kid of delivery is that?",ea09cb2f-11d2-4f01-b6d2-518b3795ab13,2026-06-20 10:28:40
1,other,لازم تحط رقمك عشان تفتح و مفيش مصر و مقدرش افتح التطبيق اغبي تطبيق,b43648b2-25ee-49d8-8beb-8ab8188ba3fa,2026-06-15 17:34:22
1,delivery,the latest update made the app slower and the new meal UI is very bad,2c2ca083-269e-45ca-8628-ed36bb0252cc,2026-06-13 16:07:43
1,other,تطبيق فاشل كله يعلق و بطيئ ياليت تهتمون فيه اكثر,244a07f0-c9f4-48f9-8f2f-ed927fffc0b6,2026-06-07 10:35:30
2,other,الأكل ممتاز لكن التطبيق فيه إشكاليات وأيضا المفروض إنك تقدر تطلب من الموقع زي التطبيق.,524f885a-e9dc-49b4-885b-b3b7080c2076,2026-06-06 18:34:51
5,other,we need calo in iraq.,0cfb18a3-64cc-4027-a00d-70e413e780cb,2026-06-05 04:02:12
1,other,"I never post app ratings, but this app is so bad I felt the need to rate it. Can't even sign up.",9d4a1306-2081-4a09-94fe-a2b17f3d0205,2026-06-02 17:20:02
3,other,The app images on Play Store are misleading - there aren't vegetarian plans available.,874681a2-e2d7-47df-8531-878155993f97,2026-06-02 08:36:18
4,other,fix your app every time i put otp its says error,2a8ba517-6cc7-4ba2-9934-89186bc95ac5,2026-05-19 08:43:35
5,other,Good quality and variety,187ae91a-fc04-4d46-a779-f69429779cd1,2026-05-09 12:08:50
1,other,غالي يبي ٢٩ الف ونص عشان باقة سنة ليه الوليد بن طلال,944edfd7-3450-4aa2-b73e-1f42ae78e9e0,2026-05-05 14:03:40
4,other,فوق التقييم سواء خدمات التطبيق ، او جودة الوجبات ، ولكن لعل الاسعار تنخفض قليلا بشرط الا تتغير الجودة,10465237-ecda-4116-ae19-186c1adbd33b,2026-04-24 21:38:20
5,other,تطبيق رائع جدا وسهل الاستخدام من الوقت و جودة وتنوع الوجبات على حسب حاجت العميل راقي جدا وخدمة التوصيل,d125b357-9d2e-43ee-8c66-9eae44cc0449,2026-04-22 19:24:46
1,other,"I can't log in, how I can't cancel the meal during travel!!! I really hate IT",73bc40f1-a423-4a18-876d-a7d80133a13c,2026-04-19 08:21:49
1,other,قليلين ادب وليسوا كما بدأو ، السواقين كذابين وخدمة العملاء لا يردون عليك اساسا، كمية قلة أدب وكمية تقليل من احترام العميل كبيييييرة جدا لا انصح بالاشتراك معهم,266d231d-b197-4adb-b4a0-abaf018b2e46,2026-04-18 22:18:13
5,other,"This app is one of the best, if not the best, for healthy meal experiences.",86a3891d-2c29-4ead-85b4-829b1a1bf63d,2026-04-13 17:50:54
2,delivery,Terrible app for managing food delivery. If you want to change anything it usually ends in a support call. the support is good and usually resolved quickly. however this can become tiresome. A real shame as the actual food delivered is great.,87da09d7-e88b-49c0-8af9-0d04058fa3c7,2026-04-12 04:03:12
1,other,App is not working. Unable to renew subscription or pick meals,46ee036d-0e00-4cf7-8112-c13e4e068bf1,2026-04-11 10:22:22
1,other,I wish their app was as good as their meals. App is too slow.. too slow.. too slow,04d299dd-aa1f-4eea-b6b2-479f58824458,2026-04-11 01:43:00
3,other,"I love the food, and the customer service has been good. But, the technical issues with the app are becoming a real issue. The app constantly freezes when swapping meals. Three times contacted the service, and three times they said they will transfer the issue with team. Nothing happens.",ef4255ae-3f44-44f5-99d2-5d1b99385e83,2026-04-04 22:23:08
1,wrong_item,"horrible technical issues. App is a nightmare. However, if it works fine, Calo is all-round probably the best in the business. Trying to subscribe 1 year, tells me it's 2004 SAR /mo. (supposedly 24048 SAR/yr.) but the calculated total is 26052!! Was forced to renew with Mauzoon instead as the app crashed and logged me out and wasn't able to log back in again except after i deleted the entire thing and reinstalled",7dbe3217-58eb-49fc-83c9-0f3645edbcae,2026-03-31 07:33:29
1,other,the app is so badly designed. it crashes consistently when you try to swap meals.,8d9314f0-48bd-4d3c-80d1-94659ce52064,2026-03-24 08:13:29
5,other,I am surprised this app has such a low rating on the App store. it deserves at least 4/5 stars. it's a very practical app it gives you many options to choose from and it's very easy to swap meals. you can build your own meals. they have calo club which gives a very good discount. the support the super fast and they never disappoint you. they will always fix your problem and compensate you for any inconvenience. the meals are ok in general but the app makes Calo what it is.. I love it,75939539-818b-4080-b0db-b889a233eb6c,2026-03-18 20:39:02
2,other,change your CTO - you're getting hustled by the abysmal work your technical team is doing on the app!,4bc8ff8c-c1f4-4850-abf4-0175a238eeb8,2026-03-18 19:22:17
1,allergen,Calo has good quality food and its in house nutrionists helpful. 2 weeks ago the app stopped working and I could not cancel food delivery leading to wasted food and money. The technical team are unable to fix the problem leaving me with no option but to look around for a company that has an app that works,9d4bf683-429c-4117-a26b-82cff8a862c9,2026-03-12 02:55:59
2,other,"Performance of the app is abysmal! They are a good food plans provider, but the application's performance is unacceptably slow and laggy. Really annoyed..",2fd96713-2eac-4b11-ac6e-2825a1f069a5,2026-03-10 02:10:23
1,other,لازم تدفع عشان تشوف الأكل ؟؟,9d864fbb-1bca-42ad-a315-b8d4568ee7d8,2026-03-05 01:15:34
1,wrong_item,"The food they offer is delicious, the support available online when needed. BUT the app has sooo many glitches it's annoying and makes me want to cancel food subscription. If the app doesn't work well, just allow the same features through a browser instead!",ed673802-489b-45bb-b4c2-c7696c714349,2026-02-27 14:36:52
5,other,amazing app ever 👏 😍,fc6b9bc5-01dd-4dba-8bb6-25d0c9f9e349,2026-02-21 00:56:21
5,other,Good quality food with lots of options,20880b1b-fade-4dd5-909a-6b93e3fc41c9,2026-02-20 18:15:16
4,other,"some options that are put on the first page should be moved to the account, such as suspending order, or changing important thing by mistake.",c359283b-614d-4e91-9b6f-702d0f9956c9,2026-02-19 02:44:52
3,other,"the foods actually really really good. even their customer service is fantastic. I just have a major issue with technical issues of the app. it keeps freezing on the payment page. the customer service, only in this case, we're extremely frustrating. they kept saying they will ""raise the issue"" but nothing would ever happen after. then they would tell me to uninstall n reinstall which is an understandable advice but Lord help me it. never. worked. the problem stayed no matter.",85eab290-de35-4eb6-ad27-9a9dd7ddf231,2026-02-19 01:46:36
5,other,"amazing app, very creative and essy to use + attentive service! shout out to Reem from the chat team for saving me many times and making me feel so spoiled and special 🐈‍⬛❤️✨️",11d9a5d8-dd8b-4a1e-b92c-cba8dc93f8a6,2026-02-18 23:32:01
5,other,Best experience to loose weight and live healthier life💚 💚 💚,bda3b53b-e0d4-4d8b-9853-180d572201d5,2026-02-18 21:19:52
5,other,"CALO, The best Staff and the best pre made meals. there's competition but this American has tried the competition and all bless their hearts but CALO is no1 quality no.1 customer service, no1 in Love. Ramadan Mumbarak!",0c008866-4b09-4899-a96d-88d0afdc63fc,2026-02-18 20:44:16
5,other,"extremely user friendly app, not to mention how great their customer service is",f5e753e7-3360-480e-b205-30f0875b6c91,2026-02-18 20:18:24
5,portioning,"the best meal plan in the world!! the food is clean and healthy yet very tasty and big filling portions. and the employees are so polite and friendly and helpful. can not recommend it more, I'm their biggest forever loyal fan 💚",68e88ace-3e63-4d67-ac0f-95cabd4e04dd,2026-02-18 19:04:54
5,other,احسن تطبيق للأكل الصحي وافضل خدمة 🤩,89b315cb-98e6-4c9e-a70b-db57f09f4a85,2026-02-18 16:57:41
1,delivery,Not good. Food not delivered on time and driver lied about delivery then have to really push for full refund as try everything but this. Not good to be this unreliable when marketing self as food delivery service thay substitutes own food.,97adefe3-0b62-4890-b8ca-e22111247cbd,2026-02-17 15:07:57
1,other,not tasty food at all,81cb6ee0-9d1b-4995-aa8c-bb248f96441a,2026-02-11 19:42:49
1,other,I am unable to login today,3c289c64-dcda-4db4-9bd8-ed6727be6eb8,2026-02-08 20:11:58
1,other,"The app is not working, i cannot login,i never receive otp",b1b01780-4883-4276-8aa4-ebed26b20b3f,2026-02-03 20:09:18
2,other,لا يوجد جميع الدول,5dbbb890-75f1-4b1b-98e0-fcb651e5379b,2026-01-30 04:05:37
